,Unnamed: 0,id,seeker_post,response_post,level,rationale_labels,rationale_labels_trimmed,response_post_masked,origin
306,,BAyLK3onhcZXocQYUNeaVK_HL9ZqKKvQ72fwfLNZzg6SN,Doing literally anything feels like an ordeal.. All I do is sit on the computer or lay in bed because that's all that doesn't feel painfully hard to do. I can't do anything or move on with my life.,"I completely understand how you feel. It's like everything we do is a struggle and we just want to escape from it all. But remember, it's okay to take breaks and give yourself time to rest. It's important to take care of yourself and not put too much pressure on yourself to do everything at once. It's okay to do things at your own pace and not compare yourself to others. You are not alone in this and it's okay to ask for help if you need it.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
584,,nS4yKZAZAyJXoepbW5a8Bs_SmboLiSYwDNzsVmidAw9sL,Crazy thoughts. Planning to end it all soon .,"I understand that you may be feeling overwhelmed by your thoughts and considering ending your life. It's important to remember that you are not alone and that help is available. It's a brave step to reach out and express your thoughts, and I am here to listen and support you. Let's work together to find a way to cope with your feelings and seek professional help if necessary.",1,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
1144,,axE3fLCymUVBCBpAhpd4F5_CsmRacfv77G88KYf8nnEg8,How long is this going to go for?. I wish I fucking knew. Fuck you and everyone else.,"I understand how frustrating and overwhelming it must feel to not have control over your situation. It's important to remember that you are not alone in this and that there are people who care about you and want to help. It may be helpful to reach out to a therapist or counselor who can provide you with support and guidance on how to cope with your feelings. It's also important to take care of yourself and prioritize your mental health. Remember that things may seem bleak now, but they can improve with time and effort.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
243,,e8V5eDbdwrRyo8LTZoCBaM_RKanHx4V7F9KNBJEum4963,"There is no escape from the loneliness. If no woman wants to date you, no woman wants to date you, and no amount of diet and exercise changes it. I get blocked for saying hello... all my family grew old and died. All my friends got married and moved away. I live in hell, alone.","It sounds like you're going through a tough time with feelings of loneliness and isolation. It's important to remember that these feelings are temporary and that there are people out there who care about you and want to be in your life. It may be helpful to reach out to a therapist or counselor who can help you work through these feelings and develop coping strategies. Additionally, try to focus on self-care and doing things that bring you joy and comfort. Remember that it's okay to ask for help and that you don't have to face these challenges alone.",1,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
117,,avcGZunh6MXfr8hiCqWZgD_56rG9PBWewwaLo7Nn4JBfV,"Laying on floor all day.. been laying on the floor for hours.Its my day off and beautiful outside, but I want to get up,just laying in here.Some ants are in in my room and some crawl on me.Dont care, feel anything.","It sounds like you're feeling a bit stuck and unmotivated. Maybe try getting up and moving around, even if it's just to go for a walk outside. It can be helpful to change your surroundings and get some fresh air. As for the ants, they're just insects and not worth getting worked up over. Try not to let them bother you and focus on taking care of yourself.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
397,,ijkqCBqvv7JUDoEn6y4iPV_KzFMAduPEWWpLqPwKEhUki,Does anyone else just walk about their house overthinking fucking everything for hours on end?. I hate life all the time it sucks !,"Yes, I do the same thing. It's exhausting to constantly analyze every little thing and be consumed by negative thoughts. It's hard to find joy in life when everything seems to be a source of stress and anxiety. I understand how you feel. Let's try to distract ourselves from these thoughts and find some activities that bring us happiness.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
1014,,CbrcbDv8tLPrYP2PNCeLwg_MhtJuPocGncBV5SroKniKF,Feeling accomplished. It's amazing what the smallest accomplishment can do. I've just done my laundry by myself for the first time and I feel so proud of myself.  It's kinda silly I know,"Your accomplishment is not silly at all! It's a big deal to take care of such a simple task on your own. It shows that you are capable and independent, and it can give you a sense of pride and satisfaction. Keep up the good work and try to focus on the small victories in life, they can make a big difference in how you feel about yourself.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
598,,kP7xiUcdzBEekYX26yQdBX_Y9MX3LKzxdx3hs4BUEj8nG,I can't stop comparing myself to everyone else. I don't even know who I am anymore--just who I am not. This past week was really rough...,"It sounds like you're struggling with feelings of inadequacy and self-doubt. It's important to remember that comparing yourself to others is a natural human tendency, but it's not always helpful or productive. Instead of focusing on what you're not, try to focus on your own strengths and accomplishments. It's also important to remember that everyone has their own unique journey and path in life, and it's not fair to compare yourself to others. It's okay to take time for yourself and work on building your self-confidence and self-worth. Remember, you are valuable and important just the way you are.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
708,,FirgY96qEfpoN4og8Lwo3G_idCwi7SJsYTCWro3b8atty,"despite being on medication, the depression is coming back. it worked so well, i thought finally i can feel normal again  well that were some nice 2 months but now im feeling like shit again  have some side effects as well and in about 1 month ill see my psychiatrist again  lets see if i can survive till then","It's tough when medication doesn't seem to be working as well as it did in the past. It's important to remember that everyone's experience with depression and medication is different, and what works for one person may not work for another. It's also important to talk to your psychiatrist about any concerns you have about the medication and its side effects. They may be able to adjust the dosage or try a different medication to help you manage your symptoms. It's also important to remember that it's okay to not feel okay all the time and to seek support from friends, family, or a therapist if needed.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
150,,UhJ3F6ZHBYZxgtHWHBEy4q_MGQ6NSj47k3iCmHxP7RhCX,"I spent my 21st birthday alone. Sister sent me a text, Brother had to be reminded, Dad too, and he shouted us KFC.  Never left the house, either.  I'm not close with my family at all.","It sounds like you had a difficult 21st birthday. It's understandable that you would feel alone and disconnected from your family. It's important to remember that you are not alone in this and that there are people who care about you. It may be helpful to reach out to your family members and try to build a stronger connection with them. It's also important to take care of yourself and seek support from friends, a therapist, or other resources. Remember that things can change and that it's never too late to make positive changes in your life.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
