,Unnamed: 0,id,seeker_post,response_post,level,rationale_labels,rationale_labels_trimmed,response_post_masked,origin
652,,Y74SiqbLRE4MMzdEHsshUd_AkQjBwtR5YHSBJxfh8R8Fx,Is it normal.... Is it normal to just get random moments of depression that makes you want break up every relationship you have ??,"No, it is not normal to experience random moments of depression that make you want to break up every relationship you have. Depression can be a very serious and debilitating condition that can affect many different aspects of a person's life, including their relationships. It is important to seek professional help if you are experiencing these types of feelings. A therapist or counselor can work with you to address the underlying causes of your depression and help you develop strategies for managing your symptoms. It is also important to reach out to loved ones for support during this time. They can provide a listening ear and offer encouragement as you work through these challenging emotions. Remember, you are not alone and there is help available.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
1063,,UjfzqoMF9yHqbFcMQYmT9r_aKVB9knDS5ntrt4yy8Gwqx,"1 month since being dumped.. My way of coping is Beer, Smokes &amp; sad music. I miss you, But I hate the way made me feel. I hate what done",It sounds like you're going through a tough time right now. It's important to remember that it's okay to feel sad and to seek out healthy ways to cope with your emotions. Maybe consider talking to a therapist or counselor who can help you work through your feelings. It's also important to take care of yourself and not do anything that could potentially harm you.,0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
924,,Y9uK654kWkDchyfc4C4Y8D_oUwuK7b9TfMRgkh3j2F6Av,I finished a 6 hour motorcycle ride between two states.. Why didn't I get hit?,"Wow, that's amazing! You must have been really careful or lucky. I'm glad you didn't get hit. Motorcycle rides can be so much fun, but it's important to always be safe.",1,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",85,,machine
953,,iBbg9MQpPBEFn32Uo74P9M_ZFDMxpKubg6tswnFw9JCK3,"I am just so depressed. I honestly don't know why. Its a terrible thing that won't stop coming up. I feel empty, but like I want to cry. The best way to get through this, I have discovered, is blasting the thoughts away with loud music.","I'm sorry to hear that you're feeling so depressed. It can be such a difficult and overwhelming feeling to experience. It's important to remember that you're not alone and that there are people who care about you and want to help. It's okay to not have all the answers or to not know why you're feeling this way. Sometimes, it can be helpful to talk to someone about your feelings and to seek professional help if you're struggling to cope with your emotions. It's also great that you've found something that helps you to cope, like listening to music. Remember to take care of yourself and to be kind to yourself during this difficult time.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
1149,,Uo9YivUeuQemUSv9ULH3Fg_49Fi9VFK5TgdT5aKmUHPoG,"melancholic. I'm not depressed. I've been depressed a few years ago and I know what that was like - the mindset I was in where I beat myself up, felt shitty about everything I did, thought constantly about suicide, had weird emotions about my close friends/family and pushed them out..... i'm not there anymore. this isn't depression.  where i am now...i'm just not happy. nothing i do makes me happy. it doesn't mean i'm sad, or that i beat myself up, or i'm suicidal. i can have confidence in myself yet also not find joy in my life, and that's where i am right now.  i don't know what's worse. at least before i sort of knew how to get out of that mindset....","It sounds like you are going through a difficult time right now. It's important to remember that it's okay to not be okay all the time, and that it's normal to experience a range of emotions. It's also important to seek help if you are feeling overwhelmed or if you are struggling to cope with your feelings. There are many resources available to help you, such as therapy, support groups, and helplines. Remember that you are not alone and that it's okay to ask for help.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
1133,,Mz82CHP7qZC4rLH3p4eDyq_TAf7rJnQcG9hBEY5S26pYd,The loneliness is hitting early this weekend. Gonna be a rough one,"I'm sorry to hear that you're feeling lonely. It can be tough when the weekend rolls around and you're not surrounded by people. Have you thought about reaching out to friends or family members to see if they'd be willing to hang out or spend time with you? Sometimes just having someone to talk to can make a big difference. If you're not comfortable reaching out to people you know, there are also online communities and support groups that you can join to connect with others who are going through similar experiences. Remember that you're not alone and that it's okay to ask for help.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
920,,aDiAXjAxYKrWAwN3JYuZx8_VXWjLsujtT6UWd5DTDZr6i,Pale. Self destruction will probably end me.,"I'm sorry to hear that you're feeling that way. It's important to remember that you're not alone and that there are people who care about you and want to help. It's okay to not be okay, and it's important to reach out for support when you need it. If you're feeling overwhelmed, it might be helpful to talk to a therapist or counselor who can help you work through your feelings. Remember that it's okay to take things one day at a time and that it's okay to ask for help. You deserve to be happy and to live a fulfilling life.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
768,,FbZgmEoRnfVxxuXL9sCgJi_HY5S8QNCZcGQuS4dYtTnBb,"Alone. I feel like I fit in any group,like in school or work nor my family, alone and I belong to any. just me in my own world and everyone is turning around.","It's hard to feel like you don't belong, especially when it feels like everyone else is fitting in around you. But remember that just because you don't feel like you fit in with certain groups, it doesn't mean that you're not valuable or that you don't have a place in this world. It's important to remember that you are unique and that there are people out there who will appreciate and value you for who you are. Don't be afraid to seek out new groups or communities where you can find people who share your interests and values. And most importantly, always remember that you are never truly alone. You have yourself, and that is a powerful and valuable thing.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
549,,TuHEHWW3gZQ73ZXvncPFHt_QXuJeD9XiLNmUdmdpyeBpf,"A friend just died. A friend of mine just died. I don't feel anything, there's something that is very wrong with me. I should be more sadder but no, nothing, nada.","I'm so sorry to hear about your friend. It's completely understandable that you're feeling numb and struggling to process your emotions. It's okay to not feel okay right now. It's important to give yourself time to grieve and process your friend's passing. It's okay to feel however you're feeling, and it's important to allow yourself to feel those emotions. If you need support, don't hesitate to reach out to loved ones or a mental health professional. Remember, it's okay to not be okay, and it's important to take care of yourself during this difficult time.",2,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
351,,WEJFSmfFLfgnKVg6FrF5FZ_j7h2EPhQAAWzfYDhFqapBg,"Struggling from a breakup. My bf broke up with me a month ago. still heartbroken. I hate myself for not trying harder to make him happy. Now sad and alone, and I miss him so much. I even refer to him as my ex; it hurts too much.","like you're going through a tough time right now. It's normal to feel heartbroken and sad after a breakup, and it's important to give yourself time to grieve and process your emotions. It's not uncommon to feel like you hate yourself or regret things that you did or didn't do in the relationship. However, it's important to remember that you are not alone and that it's okay to seek support from friends, family, or a therapist. It can also be helpful to focus on self-care and do things that bring you joy and comfort. It's also important to give yourself time and space to heal and to not put too much pressure on yourself to move on quickly. Remember, healing is a process and it's okay to take things one day at a time.",0,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",125,,machine
